[2020-11-09T05:56:25.315Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 16.841 ms
[2020-11-09T05:56:25.327Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 22.220 ms
[2020-11-09T05:58:04.081Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 13.947 ms
[2020-11-09T05:58:04.095Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 25.415 ms
[2020-11-09T06:07:47.231Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 13.599 ms
[2020-11-09T06:07:47.339Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 100.360 ms
[2020-11-09T09:22:54.351Z] ::1 null POST /api/admin/error_email 200 {"error":"No role found","fileName":"ComponentRoutes.js","user":"user: null role: null","state":"props: {\"history\":{\"length\":13,\"action\":\"POP\",\"location\":{\"pathname\":\"/targets\",\"search\":\"\",\"hash\":\"\"}}}","dateTime":"2020-11-09 19:22:47","path":"/targets","purpose":"error","to":"darryll@thesystem.co.za","subject":"ALERT! Error picked up!"} 6293.965 ms
[2020-11-09T10:55:12.400Z] ::1 - POST /api/admin/sessions/ 200 {"email":"email@email.com","password":"newpass","loginDate":"2020-11-09 20:55:12"} 235.951 ms
[2020-11-09T10:55:14.777Z] ::1 email@email.com GET /api/admin/clientservices/1 200 {} 102.755 ms
[2020-11-09T10:55:15.021Z] ::1 email@email.com GET /api/business/collections/list_all/1 200 {} 85.847 ms
[2020-11-09T10:55:28.354Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 205.903 ms
[2020-11-09T10:55:28.401Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 250.744 ms
[2020-11-09T10:58:40.244Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 101.748 ms
[2020-11-09T10:58:40.287Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 137.383 ms
[2020-11-09T11:08:40.409Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 26.041 ms
[2020-11-09T11:08:40.433Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 41.429 ms
[2020-11-09T11:22:22.670Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 108.392 ms
[2020-11-09T11:22:22.685Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 122.405 ms
[2020-11-09T11:24:55.958Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 17.906 ms
[2020-11-09T11:24:56.049Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 107.504 ms
[2020-11-09T11:25:30.766Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 69.194 ms
[2020-11-09T11:27:22.215Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 12.088 ms
[2020-11-09T11:27:22.227Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 20.556 ms
[2020-11-09T11:28:50.029Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 17.681 ms
[2020-11-09T11:29:04.046Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 19.080 ms
[2020-11-09T11:29:04.066Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 18.313 ms
[2020-11-09T11:29:56.035Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 20.258 ms
[2020-11-09T11:29:56.098Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 79.167 ms
[2020-11-09T11:31:30.085Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 15.343 ms
[2020-11-09T11:31:30.122Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 49.855 ms
[2020-11-09T11:38:19.394Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 11.246 ms
[2020-11-09T11:38:19.404Z] ::1 email@email.com POST /api/reports/ 200 {"workspace":"collections","reportName":"aging","clientId":1} 18.314 ms
